prediction_class,true_supported_count,true_refuted_count,true_insufficient_count,precision_pct,recall_pct,f1_score,support_count
SUPPORTED,79,12,8,84.0,79.8,81.9,99
REFUTED,9,73,8,81.1,81.1,81.1,90
INSUFFICIENT,6,5,59,78.7,85.5,82.0,69
MACRO_AVG,,,,,81.7,81.7,
WEIGHTED_AVG,,,,,81.2,81.2,
OVERALL,157,90,75,,81.2,81.2,260
